"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 21 19:43:53 GMT 2022","Fri Oct 21 19:43:53 GMT 2022","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"broken","Fri Oct 21 19:43:53 GMT 2022","Fri Oct 21 19:43:53 GMT 2022","22","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"broken","Fri Oct 21 19:43:53 GMT 2022","Fri Oct 21 19:43:53 GMT 2022","5","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Fri Oct 21 19:43:53 GMT 2022","Fri Oct 21 19:43:53 GMT 2022","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"broken","Fri Oct 21 19:43:53 GMT 2022","Fri Oct 21 19:43:53 GMT 2022","7","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"broken","Fri Oct 21 19:43:52 GMT 2022","Fri Oct 21 19:43:52 GMT 2022","203","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"broken","Fri Oct 21 19:43:53 GMT 2022","Fri Oct 21 19:43:53 GMT 2022","38","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
